Filename,и,Segment,Личноеместоимение,вербальные,Предлог,Союз,Когнитив,Включение,AllPunc,мест.-сущ.,добавление,Truth,Sex,Avg_sent,TTR,Avg_word,Hapax,Yules
2П.docx,3.52,1,12.63,18.69,13.64,10.61,21.21,6.06,24.24,13.64,3.52,0,жен.,11.8888888889,0.7102803738,4.523364486,0.8289473684,334.1412742382
30Л.docx,4.27,1,17.6,17.6,7.73,11.59,18.45,9.44,19.74,12.88,4.29,1,муж.,13.9,0.5467625899,3.8920863309,0.8026315789,692.5207756233
30П.docx,2.98,1,16.17,18.72,10.64,8.94,17.45,11.49,19.57,9.75,3.45,0,муж.,13.9,0.5467625899,3.8920863309,0.8026315789,692.5207756233
31Л.docx,1.36,1,13.01,18.49,13.01,10.27,25.34,5.48,28.08,10.96,1.37,1,жен.,9.7894736842,0.6451612903,3.876344086,0.8333333333,588.8888888889
31П.docx,1.44,1,15.79,15.79,12.92,5.26,18.66,6.22,27.27,10.53,1.44,0,жен.,9.7894736842,0.6451612903,3.876344086,0.8333333333,588.8888888889
32Л.docx,3.03,1,10.61,16.67,10.61,4.55,15.15,13.64,24.24,1.52,3.03,1,жен.,6.8333333333,0.6707317073,4.2926829268,0.7818181818,671.0743801653
32П.docx,1.89,1,15.09,22.64,11.32,3.77,13.21,5.66,24.53,7.55,0,0,жен.,6.8333333333,0.6707317073,4.2926829268,0.7818181818,671.0743801653
33Л.docx,1.77,1,8.85,14.16,14.16,6.19,30.09,10.62,23.89,0.88,1.77,1,жен.,9.9285714286,0.6474820144,4.5899280576,0.8111111111,549.3827160494
33П.docx,0.73,1,9.49,11.68,13.87,10.22,23.36,7.3,24.09,2.19,2.92,0,жен.,9.9285714286,0.6474820144,4.5899280576,0.8111111111,549.3827160494
34Л.docx,5.26,1,12.28,14.04,8.77,8.77,17.54,10.53,21.05,7.02,5.26,1,жен.,9.8571428571,0.6666666667,4.1884057971,0.7391304348,543.4782608696
34П.docx,4,1,7,16,14,10,17,15,28,5,4.04,0,жен.,9.8571428571,0.6666666667,4.1884057971,0.7391304348,543.4782608696
